,movie,year,imdb,metascore,votes,grossMillions,timeMin
908,Persepolis,2007,8.0,90.0,86423,4.45,96
909,Raise the Red Lantern,1991,8.1,79.0,28313,2.6,125
910,Dil Chahta Hai,2001,8.1,79.0,64735,0.3,183
911,La Strada,1954,8.0,79.0,56420,24.795,108
912,Pierrot le Fou,1965,7.6,79.0,28000,24.795,110
913,Mustang,2015,7.6,83.0,34149,0.85,97
914,The Innocents,1961,7.8,88.0,25630,2.62,100
915,Nights of Cabiria,1957,8.1,79.0,41474,0.75,110
916,Fearless,2006,7.6,70.0,71767,24.63,104
917,To Have and Have Not,1944,7.8,79.0,29976,24.795,100
918,Confessions,2010,7.8,79.0,34507,24.795,106
919,Diabolique,1955,8.0,79.0,59902,24.795,117
920,My Sassy Girl,2001,8.0,79.0,44371,24.795,137
921,Vivre Sa Vie,1962,8.0,79.0,26208,24.795,85
922,Love Me If You Dare,2003,7.6,45.0,66051,0.55,93
923,The Experiment,2001,7.7,60.0,89671,0.14,120
924,In a Better World,2010,7.6,65.0,37802,1.01,118
925,Special 26,2013,8.0,79.0,48917,1.08,144
926,The General,1926,8.1,79.0,77878,1.03,67
927,Ace in the Hole,1951,8.1,72.0,30077,3.97,111
928,The Past,2013,7.8,85.0,43771,1.33,130
929,Hard Boiled,1992,7.8,79.0,45599,24.795,128
930,In America,2002,7.7,76.0,39915,15.54,105
931,Barfi!,2012,8.1,79.0,73205,2.8,151
932,Harvey,1950,7.9,79.0,51645,24.795,104
933,"4 Months, 3 Weeks and 2 Days",2007,7.9,97.0,55092,1.19,113
934,Lupin the 3rd: Castle of Cagliostro,1979,7.7,71.0,25444,24.795,102
935,Elite Squad 2: The Enemy Within,2010,8.0,71.0,77808,0.1,115
936,Brief Encounter,1945,8.0,92.0,34139,24.795,86
937,Il Postino,1994,7.7,81.0,32541,21.85,108
938,The Lost Weekend,1945,7.9,79.0,32498,9.46,101
939,Cell 211,2009,7.6,79.0,62533,24.795,113
940,Down by Law,1986,7.8,75.0,46458,1.44,107
941,The Purple Rose of Cairo,1985,7.7,75.0,45756,10.63,82
942,Udta Punjab,2016,7.8,79.0,25717,24.795,148
943,The Passion of Joan of Arc,1928,8.1,79.0,45146,0.02,114
944,Jules and Jim,1962,7.8,97.0,36206,24.795,105
945,Airlift,2016,8.0,79.0,51420,24.795,130
946,Departures,2008,8.1,68.0,47315,1.5,130
947,Battleship Potemkin,1925,8.0,79.0,51364,0.05,66
948,Joint Security Area,2000,7.8,58.0,25305,24.795,110
949,Inherit the Wind,1960,8.1,75.0,26364,24.795,128
950,Fireworks,1997,7.8,79.0,26693,0.23,103
951,Miracle on 34th Street,1947,7.9,88.0,38875,2.65,96
952,Duck Soup,1933,7.8,93.0,54426,24.795,69
953,Evil,2003,7.8,61.0,34908,0.02,113
954,Vicky Donor,2012,7.8,79.0,38305,0.17,126
955,Black,2005,8.2,79.0,32609,0.73,122
956,Veer-Zaara,2004,7.8,67.0,47454,2.92,192
957,Lifeboat,1944,7.6,78.0,25634,24.795,97
958,Tokyo Godfathers,2003,7.8,73.0,29340,0.13,92
959,Chak de! India,2007,8.2,68.0,71298,1.11,153
960,Tangerines,2013,8.2,73.0,36977,0.14,87
961,The Ladykillers,1955,7.7,91.0,25422,24.795,91
962,No Man's Land,2001,7.9,84.0,43731,1.06,98
963,The Killer,1989,7.8,82.0,44736,24.795,111
964,La Grande Illusion,1937,8.1,79.0,32968,0.17,113
965,The Secret of Kells,2009,7.6,81.0,30166,0.69,75
966,Tae Guk Gi: The Brotherhood of War,2004,8.1,64.0,37146,1.11,140
967,The Virgin Spring,1960,8.1,79.0,25594,1.53,89
968,The Triplets of Belleville,2003,7.8,91.0,49720,7.0,80
969,White Heat,1949,8.1,79.0,28652,24.795,114
970,Sanjuro,1962,8.1,79.0,30861,24.795,96
971,G.O.R.A.,2004,8.0,79.0,54633,24.795,127
972,Sherlock Jr.,1924,8.2,79.0,38838,0.98,45
973,Hiroshima Mon Amour,1959,7.9,79.0,27081,0.09,90
974,Nine Queens,2000,7.9,80.0,48401,1.22,114
975,Adam's Apples,2005,7.8,51.0,44179,0.0,94
976,Jab We Met,2007,7.9,79.0,45797,0.41,138
977,Central Station,1998,8.0,80.0,35035,5.6,110
978,Love and Death,1975,7.7,89.0,34934,24.795,85
979,The Rules of the Game,1939,8.0,79.0,25854,24.795,110
980,Zelig,1983,7.7,79.0,38922,11.8,79
981,The Visitor,2007,7.6,79.0,41016,9.42,104
982,The Shop Around the Corner,1940,8.1,96.0,26470,0.2,99
983,Drishyam,2013,8.4,79.0,29334,24.795,160
984,OMG: Oh My God!,2012,8.1,79.0,48940,0.92,125
985,C.R.A.Z.Y.,2005,7.9,81.0,31071,24.795,127
986,Andaz Apna Apna,1994,8.2,79.0,47892,24.795,160
987,Boy A,2007,7.6,75.0,36315,0.11,102
988,Vampire Hunter D: Bloodlust,2000,7.7,62.0,28315,0.15,103
989,The Edge of Heaven,2007,7.8,85.0,30122,0.74,122
990,Knockin' on Heaven's Door,1997,8.0,79.0,26771,0.0,87
991,Lage Raho Munna Bhai,2006,8.1,79.0,41439,2.22,144
992,The Muppet Christmas Carol,1992,7.7,64.0,46145,27.28,85
993,Joyeux Noel,2005,7.7,70.0,26992,1.05,116
994,English Vinglish,2012,7.8,79.0,32368,1.67,134
995,Le Dîner de Cons,1998,7.7,73.0,36368,4.07,80
996,A Night at the Opera,1935,7.9,79.0,29794,24.795,96
997,And Now for Something Completely Different,1971,7.6,79.0,28279,24.795,88
998,Vizontele,2001,8.0,79.0,31950,24.795,110
999,The Breath,2009,8.0,79.0,31042,24.795,128
