,movie,year,imdb,metascore,votes,grossMillions,timeMin
172,Crash,2004,7.8,66.0,413475,54.58,112
173,Mulholland Drive,2001,8.0,85.0,309589,7.22,147
174,Cast Away,2000,7.8,73.0,505936,233.63,143
175,Ratatouille,2007,8.0,96.0,619937,206.45,111
176,Black Swan,2010,8.0,79.0,682165,106.95,108
177,Sicario,2015,7.6,82.0,356640,46.89,121
178,The Perks of Being a Wallflower,2012,8.0,67.0,447824,17.74,103
179,The Peanut Butter Falcon,2019,7.6,70.0,42587,13.12,97
180,Hacksaw Ridge,2016,8.1,71.0,412359,67.21,139
181,2001: A Space Odyssey,1968,8.3,84.0,582261,56.95,149
182,Indiana Jones and the Temple of Doom,1984,7.6,57.0,434101,179.87,118
183,Unforgiven,1992,8.2,85.0,363794,101.16,130
184,Remember the Titans,2000,7.8,48.0,192844,115.65,113
185,The Big Short,2015,7.8,81.0,344184,70.26,130
186,Logan,2017,8.1,77.0,620621,226.28,137
187,The Thing,1982,8.1,57.0,356454,13.78,109
188,Eternal Sunshine of the Spotless Mind,2004,8.3,89.0,881892,34.4,108
189,The Imitation Game,2014,8.0,73.0,661712,91.13,114
190,The Hangover,2009,7.7,73.0,701961,277.32,100
191,Oldboy,2003,8.4,77.0,496279,0.71,101
192,Pride & Prejudice,2005,7.8,82.0,244551,38.41,129
193,Atonement,2007,7.8,85.0,241401,50.93,123
194,Reservoir Dogs,1992,8.3,79.0,889316,2.83,99
195,Apollo 13,1995,7.6,77.0,260314,173.84,140
196,Edge of Tomorrow,2014,7.9,71.0,581492,100.21,113
197,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,82.0,1124166,290.48,124
198,Love Actually,2003,7.6,55.0,413679,59.7,135
199,Howl's Moving Castle,2004,8.2,80.0,313414,4.71,119
200,Star Wars: Episode VII - The Force Awakens,2015,7.9,80.0,840869,936.66,138
201,Ocean's Eleven,2001,7.7,74.0,500604,183.42,116
202,Stand by Me,1986,8.1,75.0,352292,52.29,89
203,Come and See,1985,8.3,79.0,51931,24.795,142
204,Snatch,2000,8.3,55.0,761215,30.33,102
205,Harry Potter and the Half-Blood Prince,2009,7.6,78.0,453468,301.96,153
206,Donnie Darko,2001,8.0,88.0,724584,1.48,113
207,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87.0,561382,42.34,119
208,Your Name.,2016,8.4,79.0,172702,5.02,106
209,The Invisible Guest,2016,8.1,79.0,122222,24.795,106
210,Life Is Beautiful,1997,8.6,59.0,600033,57.6,116
211,The Truman Show,1998,8.1,90.0,899883,125.62,103
212,Big Hero 6,2014,7.8,74.0,397819,222.53,102
213,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65.0,458741,295.98,146
214,The Sixth Sense,1999,8.1,64.0,888400,293.51,107
215,Midnight in Paris,2011,7.7,81.0,376082,56.82,94
216,Gifted,2017,7.6,60.0,94305,24.8,101
217,The Pianist,2002,8.5,85.0,700974,32.57,150
218,The Florida Project,2017,7.6,92.0,87479,5.9,111
219,Children of Men,2006,7.9,84.0,452148,35.55,109
220,The Handmaiden,2016,8.1,84.0,101500,2.01,145
221,Captain Fantastic,2016,7.9,72.0,179577,5.88,118
222,The Girl with the Dragon Tattoo,2011,7.8,71.0,408739,102.52,158
223,Fargo,1996,8.1,85.0,596200,24.61,98
224,Close Encounters of the Third Kind,1977,7.6,90.0,178621,132.09,138
225,About Time,2013,7.8,55.0,286976,15.32,123
226,Pan's Labyrinth,2006,8.2,98.0,602917,37.63,118
227,Princess Mononoke,1997,8.4,76.0,326020,2.38,134
228,The Sound of Music,1965,8.0,63.0,197086,163.21,172
229,Captain America: The Winter Soldier,2014,7.7,70.0,713983,259.77,136
230,The Hobbit: The Desolation of Smaug,2013,7.8,66.0,588055,258.37,161
231,Primal Fear,1996,7.7,47.0,178626,56.12,129
232,A Beautiful Mind,2001,8.2,72.0,821181,170.74,135
233,The Godfather: Part III,1990,7.6,60.0,347411,66.67,162
234,Mulan,1998,7.6,71.0,241921,120.62,88
235,Black Hawk Down,2001,7.7,74.0,355987,108.64,144
236,Blazing Saddles,1974,7.7,73.0,122378,119.5,93
237,Kill Bill: Vol. 2,2004,8.0,83.0,663090,66.21,137
238,True Grit,2010,7.6,80.0,302184,171.24,110
239,Brokeback Mountain,2005,7.7,87.0,314931,83.04,134
240,Wind River,2017,7.7,73.0,192769,33.8,107
241,Man on Fire,2004,7.7,47.0,321864,77.91,146
242,Once Upon a Time in America,1984,8.4,79.0,299049,5.32,229
243,Despicable Me,2010,7.6,72.0,488326,251.51,95
244,Sin City,2005,8.0,74.0,731243,74.1,124
245,Home Alone,1990,7.6,63.0,448511,285.76,103
246,Once Upon a Time in the West,1968,8.5,80.0,291795,5.32,165
247,Boyz n the Hood,1991,7.7,76.0,120388,57.5,112
248,Moneyball,2011,7.6,87.0,350099,75.61,133
249,Superbad,2007,7.6,76.0,508124,121.46,113
250,Inside Out,2015,8.1,94.0,586404,356.46,95
251,Silver Linings Playbook,2012,7.7,81.0,647651,132.09,122
252,The Intouchables,2011,8.5,57.0,730584,13.18,112
253,The Wizard of Oz,1939,8.0,100.0,364770,2.08,102
254,Predator,1987,7.8,45.0,362242,59.74,107
255,Star Wars: Episode VI - Return of the Jedi,1983,8.3,58.0,921731,309.13,131
256,The Incredibles,2004,8.0,90.0,638605,261.44,115
257,Spotlight,2015,8.1,93.0,401508,45.06,129
258,Dead Poets Society,1989,8.1,79.0,406509,95.86,128
259,The Sandlot,1993,7.8,55.0,76278,32.42,101
260,Casablanca,1942,8.5,100.0,505875,1.02,102
261,Finding Nemo,2003,8.1,90.0,921533,380.84,100
262,City of God,2002,8.6,79.0,681617,7.56,130
263,Stardust,2007,7.6,66.0,248229,38.63,127
264,Incredibles 2,2018,7.6,80.0,235904,608.58,118
265,Nightcrawler,2014,7.9,76.0,443246,32.38,117
266,Warrior,2011,8.2,71.0,424517,13.66,140
267,Bridge of Spies,2015,7.6,81.0,278728,72.31,142
268,12 Monkeys,1995,8.0,74.0,565093,57.14,129
269,Some Like It Hot,1959,8.2,98.0,236091,25.0,121
270,Toy Story,1995,8.3,95.0,857613,191.8,81
271,The Pursuit of Happyness,2006,8.0,64.0,433325,163.57,117
272,Tangled,2010,7.7,71.0,393007,200.82,100
273,Capernaum,2018,8.4,75.0,49984,1.66,126
274,The Deer Hunter,1978,8.1,86.0,301858,48.98,183
275,Training Day,2001,7.7,69.0,378114,76.63,122
276,Shrek,2001,7.8,84.0,596179,267.67,90
277,The Hunt for Red October,1990,7.6,58.0,173460,122.01,135
278,The Fault in Our Stars,2014,7.7,69.0,333983,124.87,126
279,The Blind Side,2009,7.6,53.0,283507,255.96,129
280,Hot Fuzz,2007,7.8,81.0,449811,23.64,121
281,Vertigo,1958,8.3,100.0,348180,3.2,128
282,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,97.0,437747,0.28,95
283,The Exorcist,1973,8.0,81.0,351833,232.91,122
284,L.A. Confidential,1997,8.2,90.0,518068,64.62,138
